0,0,1005,0,227,3,12,0,438,1599,138,1,0,320,50,0,0,1681,2,2,2,95,232
1,0,1005,1,7,12,12,0,438,611,393,1,0,320,50,0,0,638,30,30,30,95,232
2,0,1005,0,225,4,15,2,438,1212,505,1,0,320,50,0,0,1264,1499,1499,1499,95,255
3,0,1005,0,125,3,12,0,438,1034,373,1,0,300,250,0,0,1081,97,97,97,95,232
4,0,1005,0,227,3,12,0,438,3474,746,1,0,320,50,0,0,3663,2,2,2,95,232
5,0,1005,0,275,1,12,0,438,1832,453,1,0,320,50,0,0,1913,720,720,720,95,232
6,0,1005,0,275,1,12,0,438,2143,67,1,0,320,50,0,0,2237,720,720,720,95,232
7,0,1002,0,225,4,12,0,358,196,709,0,0,300,50,0,0,2296,4,4,4,95,232
8,1,1005,0,275,1,12,0,438,3697,157,1,0,320,50,0,0,3902,720,720,720,95,232
9,0,1005,0,275,1,12,0,438,403,108,1,0,320,50,0,0,428,720,720,720,95,232
